page,step,lead,result,figures,lead_translation,result_translation,,
194,1(6),"Голова широка, спереду закруглена, вилиці i бокові краї передньоспинки пластинчасто розпластані, дуже широкі. Тіло голе, правильної овальної формі, зверху рівномірно і слабо опукле в ділянці грудей і черевця (вигляд збоку), а якщо більш опукле в ділянці черевця, то суцільно сіре (Sciocorini).",,,"The head is wide, rounded in front, the jugae and lateral edges of the pronotum are plate-like, very wide. The body is bare, of a regular oval shape, evenly and slightly convex above in the thorax and abdomen (side view), and if it is more convex in the abdomen, it is solid gray (Sciocorini).",,"The head is wide, rounded in front, cheeks and lateral edges of the anterior rush are planely displaced, very wide. The body of the naked, the correct oval shape, top evenly and slightly convex in the area of ​​the chest and abdomen (side look), and if more convex in the abdomen, then gray (sciocorini).",
194,2(3),Краї голови і передньоспинки вкриті щетинками (II–V).,Рід менакарус -- Menaccarus,,The edges of the head and pronotum are covered with bristles (II–V)., -- Menaccarus,The edges of the head and the front are covered with bristles (II - V).,Genus Menakarus - Menaccarus
195,3(2),Край голови і передньоспинки без щетинок.,,,The edges of the head and pronotum are without bristles.,,The edge of the head and the anterior element without bristles.,
195,4(5),"Тіло правильної овальної форми, слабо опукле і неодноколірносіре.",Рід сціокорис -- Sciocoris,,"The body is of regular oval shape, slightly convex and non-monochromatic gray.", -- Sciocoris,"The body of the correct oval shape, slightly convex and not -nominated.",Genus School - Sciocoris
195,5(4),"Тіло яйцевидне, сильно опукле в ділянці черевця (II–IV) або широкоовальне (V), сіре в густому чорному пунктируванні (II–V).",Рід диродерес -- Dyroderes,,"The body is ovoid, strongly convex in the abdominal area (II–IV) or broadly oval (V), gray with thick black punctuation (II–V).", -- Dyroderes,"The body is ovate, strongly convex in the abdomen (II -IV) or broad -oval (V), gray in thick black punctuation (II -V).",Genus Dyroderes - Dyroderes
195,6(1),"Голова іншої форми, а вилиці не широкі і не сплющені (крім Holcostethus). Тіло часто яйцевидне і сильно опукле в ділянці черевця, але тоді не сіре, а якщо правильної овальної форми, то сильно опукле (Neottiglossa, Rubiconia) або волосате (Staria).",,,"The head is of a different shape, and the jugae are not wide and not flattened (except for Holcostethus). The body is often ovoid and strongly convex in the abdominal area, but then it is not gray, and if it is of a regular oval shape, it is strongly convex (Neottiglossa, Rubiconia) or hairy (Staria).",,"Head of another shape, and cheeks are not wide or flattened (except Holcostethus). The body is often ovate and strongly convex in the abdomen, but then not gray, but if the correct oval shape, it is strongly convex (neottiglossa, rubiconia) or hair (Staria).",
195,7(12),"Голова сильно дуговидно вигнута  вперед. Вилиці довгі, на вершині загострені і, хоч навіть у II стадії довші за наличник, залишають його вершину спереду відкритою і в V стадії, не налягаючі на неї з обків (рис. 104, 2). Чорні смужки на I і II тергітах чіткі, рівні за шириною першій випарній площадці (II–III). Тільки на злакових (Aeliini і Rubiconia).",,104,"The head is strongly arched forward. The jugae are long, pointed at the top and, although even in stage II they are longer than the tylus, they leave its top open from the front even in stage V, not covering it from the sides (Fig. 104, 2). Black stripes on tergites I and II are clear, equal in width to the first ESES (II–III). Only on Poaceae (Aeliini and Rubiconia).",,"The head is strongly curved forward. The cheeks are long, pointed at the top and, even in stage II, longer than the trim, leave its top in the front open and in stage V, not attributed to it from the region (Fig. 104, 2). Black strips on I and II tergitis are clear, equal in width of the first evaporation platform (II - III). Only on cereals (Aeliini and Rubiconia).",
195,8(9),"Тіло сильно видовжене, з поздовжніми темними смугами, що переходять з грудей на черевце (рис. 99, 2). Зовнішні краї вилиць біля середини не вигнуті або злегка кутувато вигнуті, а голова має вигляд видовженого трикутника.",Рід елія -- Aelia,99,"The body is strongly elongated, with longitudinal dark stripes passing from the thorax to the abdomen (Fig. 99, 2). The outer edges of the jugae near the middle are not curved or slightly angularly curved, and the head has the appearance of an elongated triangle.", -- Aelia,"The body is very elongated, with longitudinal dark stripes that pass from the breast to the abdomen (Fig. 99, 2). The outer edges of the cheeks near the middle are not curved or slightly curved, and the head looks like an elongated triangle.",Genus Eliya - Aelia
195,9(8),"Тіло помірно видовжене або широкоовальне, без темних поздовжніх смуг на черевці. Зовнішні краї вилиць біля середини різко вигнуті, утворюють тупий кут; голова має обриси п'ятинкутника (рис. 104, 2).",,104,"The body is moderately elongated or broadly oval, without dark longitudinal stripes on the abdomen. The outer edges of the jugae near the middle are sharply curved, forming an obtuse angle; the head has the outline of a pentagon (Fig. 104, 2).",,"The body is moderately elongated or broad -oval, without dark longitudinal stripes on the abdomen. The outer edges of the cheeks near the middle are sharply curved, form a blunt angle; The head has the outline of the pentat jelly (Fig. 104, 2).",
195,10(11),"Ширина темних плям, розміщених знизу на VI–VIII стернітах черевця, не більше як вдвоє середищує їх довжину (III–V). Світлі довгасті плями в основних кутах щитка майже паралельні середній лінії тіла або груди зверху майже цілком світлі (III–V). Тіло видовженоовальне, менше.",Рід неотиглоса -- Neottiglossa,,"The width of the dark spots located below on abdominal sternites VI–VIII is no more than twice their length (III–V). Light oblong spots in the main corners of the shield are almost parallel to the middle line of the body or the thorax is almost completely light from above (III–V). The body is elongated oval, smaller.", -- Neottiglossa,"The width of the dark spots placed from the bottom on the VI -VIII stubble of the abdomen is not more than twice their length (III - V). Light oblong spots in the main corners of the shield are almost parallel to the midline or breasts on top are almost completely light (III - V). The body is elongated, less.",The neotlos genus is neottiGlossa
195,11(10),"Ширина темних плям на VI–VIII стернітах черевця більше ніж вдвоє (на VI стерніті втроє) перевищує їх довжину (III–V). Світлі видовжені плями в основних кутах щитка спрямовані під кутом 45° до серединної лінії тіла (IV–V). Тіло широкоовальне, велике.",Рід рубіконія -- Rubiconia,,"The width of dark spots on abdominal sternites VI–VIII is more than twice (on sternite VI three times) their length (III–V). Light elongated spots in the main corners of the shield are directed at an angle of 45° to the midline of the body (IV–V). The body is wide oval, large.", -- Rubiconia,"The width of dark spots on VI -VIII stubble of the abdomen is more than twice (on VI stubble) exceeds their length (III - V). Light elongated spots in the main corners of the shield are directed at an angle of 45 ° to the middle line of the body (IV - V). The body is broad, large.",Rubiconia - Rubiconia
195,12(7),"Голова спереду помірно нахилена або майже горизонтальна. Вилиці помірно видовжені, на вершині притуплені, не за наличник, якщо довші (старші стадії), то сильно прикривають його вершину з боків, іноді закриваючі і спереду. На I і II тергітах нема чорних смуг, або вони дуже вузькі і тонкі.",,,"The head is moderately inclined or almost horizontal in front. The jugae are moderately elongated, blunted at the top, not beyond the tylus, if they are longer (older stages), they strongly cover its top from the sides, sometimes covering it from the front as well. On tergites I and II there are no black stripes, or they are very narrow and thin.",,"The front head is moderately tilted or almost horizontal. The cheeks are moderately elongated, blunts at the top, not for the trim, if longer (older stages), then strongly cover its top on the sides, sometimes closing and front. There are no black stripes on I and II tergitis, or they are very narrow and thin.",
195,13(44),"Відстань між вивідними отворами на першій випарній площадці лише трохи вужча від ширини площадки (I–V) (рис. 124). Темна пляма позаду третьої випарної площадки цілком зміщена на VII тергіт, маленька, розмита або зовсім відсутня (II–V). Краї голови і грудей не облямовані округлим реберцем (I–V).",,124,"The distance between the ostioles on the first ESES is only slightly narrower than the width of the ESES (I–V) (Fig. 124). The dark spot behind the third ESES is completely shifted to tergite VII, small, blurred or completely absent (II–V). The edges of the head and thorax are not bordered by a rounded ridge (I–V).",,"The distance between the outlet holes in the first evaporation platform is only slightly narrower than the width of the platform (I -V) (Fig. 124). The dark spot behind the third evaporation platform is completely displaced into VII tergitis, small, blurred or absent (II - V). The edges of the head and breasts are not fringed with a rounded rib (I - V).",
195,14(17),"Тіло яйцевидне (I–IV) або овальне (IV–V) із слабо сплющеними боковими краями передньоспинки. Черевце з окремини стирчачими волосками, які довші (I), трохи коротші (II) або значно коротші (III) за товщину другого членика вусиків, або голе (IV–V). Перша випарна площадка схожа на витягнуту цифру «вісім», часто посередині перервану, а друга звичайно займає не більше ⅓–⅙ ширини черевця. Личинки дрібних видів (Stolliini).",,,"The body is ovoid (I–IV) or oval (IV–V) with slightly flattened lateral edges of the pronotum. Abdomen distinctly with protruding hairs that are longer (I), slightly shorter (II), or significantly shorter (III) than the thickness of the second segment of antennae, or bare (IV–V). The first ESES looks like an elongated figure eight, often interrupted in the middle, and the second usually occupies no more than ⅓–⅙ of the width of the abdomen. Larvae of small species (Stolliini).",,"The body is ovate (I -IV) or oval (IV -V) with slightly flattened side edges of the anterior ebb. The abdomen with individual hairs that are longer (I), slightly shorter (II) or much shorter (III) than the thickness of the second member of the antennae, or bare (IV - V). The first evaporation platform is similar to the elongated figure ""eight"", often in the middle, and the second usually occupies no more than ⅓ - ⅙ - ⅙ belly. Larvae of small species (stolliini).",
195,15(16),"Плями на VI–VIII стернітах посередині нижньої поверхні черевця майже квадратної форми, а найбільша розміщена на VII стерніті (II–V) (рис. 105, 3). Черевце без чорного вдавленого пунктирування, а якщо воно є (IV–V стадії S. amoenus), то дрібне, з великою домішкою не вдавлених в покрив точок іншого кольору.",Рід стагономус -- Stagonomus,105,"The spots on the VI–VIII sternites in the middle of the lower surface of the abdomen are almost square in shape, and the largest is located on the VII sternite (II–V) (Fig. 105, 3). Abdomen without black depressed punctuation, and if it is present (IV–V stages of S. amoenus), it is small, with a large admixture of dots of a different color that are not depressed in the integument.", -- Stagonomus,"Spots on VI -VIII stubble in the middle of the lower surface of the abdomen are almost square, and the largest is located on VII stubble (II - V) (Fig. 105, 3). A belly without black crushed punctuation, and if it is (stage IV - V S. Amoenus), then small, with a large admixture not pressed into the cover of points of another color.",Genus Stagonos - Stagonomus
195,16(15),"Ширина плям, розміщених посередині (VI–VII) стернітів на черевці знизу, більш ніж вдвоє більша за довжину. Найбільша пляма розміщена на VI стерніті (II–V) (рис. 108), а якщо вони не такі широкі (S. venustissima), то випарні площадки суцільно чорні (II–V). Черевце пунктироване менш (II–III) або більш (IV–V) великими і густо розміщеними чорними вдавленими точками, без домішки не вдавлених в покрив черевця точок іншого кольору.",Рід столія -- Stollia,108,"The width of the spots placed in the middle (VI–VII) of the sternites on the lower abdomen is more than twice as long as the length. The largest spot is located on the sixth sternite (II–V) (Fig. 108), and if they are not so wide (S. venustissima), then the ESESs are completely black (II–V). The abdomen is punctuated less (II–III) or more (IV–V) with large and densely placed black depressed points, without an admixture of points of a different color not depressed in the abdominal cover.", -- Stollia,"The width of the stains placed in the middle (VI -VII) stubble on the abdomen below is more than twice the length. The largest spot is located on VI stubble (II - V) (Fig. 108), and if they are not so wide (S. venustissima), then the evaporation platforms are completely black (II - V). The abdomen is punctured less (II - III) or more (IV -V) large and densely placed black indentations, without admixture not pressed into the covering of the abdomen of different color.",Celebrate Century - Stollia
195,17(14),"Тіло майже кругле (I–II) або широкоовальне (III–V), рідше яйцевидне, але тоді бокові краї передньоспинки сильно сплющені (II–III). Черевце голе або вкрите довгими волосками. Перша випарна площадка має вигляд поперечної смужки, суцільної або розмитої, але не перерваної посередині, а друга звичайно, займає до ⅓–⅕ ширини черевця. Переважно личинки крупних видів (Pentatomini).",,,"The body is almost round (I–II) or broadly oval (III–V), less often ovoid, but then the lateral edges of the pronotum are strongly flattened (II–III). The abdomen is bare or covered with long hairs. The first ESES has the form of a transverse strip, continuous or blurred, but not interrupted in the middle, and the second usually occupies up to ⅓–⅕ of the width of the abdomen. Mostly larvae of large species (Pentatomini).",,"The body is almost round (I -II) or broad -oval (III - V), rarely ovate, but then the lateral edges of the anterior rushes are strongly flattened (II - III). The abdomen is bare or covered with long hairs. The first evaporation platform looks like a transverse strip, solid or blurred, but not interrupted in the middle, and the second, of course, takes up to ⅓ - ⅓ - ⅓ - ⅕ - ⅓ - ⅓ - ⅓ ⅓. Preferably larvae of large species (Pentatomini).",
195,18(41),"Черевце без чорних плямок, розміщених по боках в поздовжні ряди.",,,Abdomen without black spots placed on the sides in longitudinal rows.,,A belly without black spots arranged on the sides in longitudinal rows.,
195,19(26),Тіло зверху вкрите волосками.,,,The body is covered with hairs on top.,,The body is covered with hairs.,
195,20(23),"Волоски на тілі довгі і дуже густо розміщені. Темні плями й смуги на тілі окреслені нерізко, розмиті.",,,"The hairs on the body are long and very densely placed. Dark spots and stripes on the body are not sharply outlined, but blurred.",,"The hair on the body is long and very densely placed. Dark spots and stripes on the body are outlined notly, blurred.",
196,21(22),"Плями на черевному обідку дуже великі, ширина плями на IV тергіті майже довівнює відстані від його внутрішнього краю до другої випарної площадка. Тіло дуже опукле, волоски довгі. Личинки менших розмірів.",Рід старія -- Staria,,"The spots on the abdominal margin are very large, the width of the spot on tergite IV almost equals the distance from its inner edge to the second ESES. The body is very convex, the hairs are long. Small larvae.", -- Staria,"The spots on the abdominal rim are very large, the width of the stain on the IV Tergita almost proves the distance from its inner edge to the second evaporation platform. The body is very convex, the hairs are long. Smaller larvae.",Genus Old - Staria
196,22(21),"Плями на черевному обідку менші, виходять за межі паратергітів, ширина плями на IV тергіті в два–чотири рази менша за відстань від його внутрішнього краю до другої випарної площадки. Тіло помірно опукле, волоски короткі. Личинки крупніших видів.",Рід долікорис -- Dolycoris,,"The spots on the abdominal margin are smaller, extending beyond the borders of the paratergites, the width of the spot on tergite IV is two to four times smaller than the distance from its inner edge to the second ESES. The body is moderately convex, the hairs are short. Larvae of larger species.", -- Dolycoris,"The spots on the abdominal rim are smaller, go beyond the paratrhytes, the width of the stain on the IV tergitis is two to four times smaller than the distance from its inner edge to the second evaporation. The body is moderately convex, the hair is short. Larvae of larger species.",Genus Dolicular - Dolycoris
196,23(20),"Волоски на тілі короткі, якщо досить довгі, то рідко розміщені. Темні плями і смуги на тілі різко окреслені, часто майже не розмиті навіть у старших стадій.",,,"The hairs on the body are short, if longer then sparsely placed. Dark spots and stripes on the body are sharply defined, often almost not blurred even in older stages.",,"The hair on the body is short, if long enough, then rarely placed. Dark spots and stripes on the body are sharply defined, often almost not blurred even in the older stages.",
196,24(25),"Волоски на тілі коротші за товщину члеників вусиків. Голова спереду майже півкругла (II–V), вилиці широкі, сплющені, майже (IV) або цілком (V) закривають вершину наличника, лише у H. sphacelatus він залишається відкритим.",Рід голькостетус -- Holcostethus,,"The hairs on the body are shorter than the thickness of the segments of the antennae. The head is almost semicircular from the front (II–V), the jugae are wide, flattened, almost (IV) or completely (V) cover the top of the tylus, only in H. sphacelatus does it remain uncovered.", -- Holcostethus,"Hair on the body is shorter than the thickness of the antennae. The head of the front is almost half a circular (II - V), the cheeks wide, flattened, almost (IV) or entirely (V) close the top of the trim, only in H. sphacelatus it remains open.",Gelcosteetus - Holcostethus
196,25(24),"Волоски на тілі значно довші за товщину члеників вусиків. Голова спереду трапецієвидна, вилиці не довші за наличник (II–V).",Рід карпокорис -- Carpocoris (Antheminia),,"The hairs on the body are much longer than the thickness of the segments of the antennae. The head is trapezoidal from the front, the jugae are not longer than the tylus (II–V).", -- Antheminia,"The hair on the body is much longer than the thickness of the antennae. The head is trapezoidal, the cheeks are not longer than the trim (II - V).",Genus Carpocoris - carpocoris (Antheminia)
196,26(19),Тіло зверху зовсім голе (лише у молодших стадій на голові і краях передньоспинки іноді стирчать короткі волоски).,,,"The body is completely bare from above (only in the younger stages, short hairs sometimes stick out on the head and the edges of the pronotum).",,The body is completely naked on top (only in the younger stages on the head and edges of the anterior ebbs sometimes stick out short hairs).,
196,27(42),"Черевце зверху без великих, розміщених в поздовжні ряди, білуватих або жовтуватих округлих плям.",,,Abdomen above without large whitish or yellowish rounded spots placed in longitudinal rows.,,"The abdomen on top without large, placed in longitudinal rows, whitish or yellowish rounded spots.",
196,28(43),"На боках черевця, на рівні проміжків між випарними площадками, нема чорних плям.",,,"There are no black spots on the sides of the abdomen, at the level of the gaps between the ESESs.",,"On the sides of the abdomen, at the level of gaps between the evaporated platforms, there are no black spots.",
196,29(30),"На хвойних деревах і чагарниках. Черевце чорне з двома світлими плямами на боках (I–II) або бруднобілувате, зеленувате або темнофіалкове, всіяне невдавленими розпливчастими малиновими або чорнуватими цятками (III–V). На черевному обідку знизу в задніх кутах сегментів немає чорних плям.",Рід пітедія -- Pitedia,,"On coniferous trees and shrubs. The abdomen is black with two light spots on the sides (I–II) or off-white, greenish or dark purple, dotted with unimpressed, vague crimson or blackish spots (III–V). There are no black spots on the abdominal margin below in the rear corners of the segments.", -- Pitedia,"On coniferous trees and shrubs. The abdomen is black with two light spots on the sides (I - II) or dirty, greenish or dark -purple, inserted with unburnt raspberry raspberry or blackish spots (III - V). There are no black spots on the abdominal rim below in the back corners of the segments.",Pitdia's genus - PITEDIA
196,30(29),"Не зустрічаються на хвойних породах. Черевце іншого кольору, а якщо зелене, то з різкими плямами знизу в задніх кутах сегментів або в чіткому вдавленому пунктируванні чорного кольору.",,,"Not found on conifers. Abdomen of a different color, and if green, then with sharp spots from below in the rear corners of the segments or with clear black depressed punctuation.",,"Do not occur on coniferous rocks. The abdomen of a different color, and if green, then with sharp spots from below in the back corners of the segments or in a clear indigent punctuation of black.",
196,31(34),"Черевце зелене, без малинових смужок в місцях зчленування сегментів (I–V), але з великими чорними плямами знизу, в задніх кутах сегментів.",,,"The abdomen is green, without crimson stripes at the joints of the segments (I–V), but with large black spots below, in the rear corners of the segments.",,"The belly is green, without raspberry strips in the joints of segments (I - V), but with large black spots below, in the back corners of segments.",
196,32(33),"Черевце в тонкому чорному пунктіруванні (I–V). Зовнішній край черевного обідка явно нерівний (рис. 122, 5), знизу з великою чорною плямою біля передніх і задніх кутів сегментів (III–V).",Рід паломена -- Palomena,122,"The abdomen has thin black puncutation (I–V). The outer edge of the abdominal rim is clearly uneven (Fig. 122, 5), below with a large black spot near the anterior and posterior corners of the segments (III–V).", -- Palomena,"The abdomen in thin black punctuation (I - V). The outer edge of the abdominal rim is clearly uneven (Figs. 122, 5), from the bottom with a large black spot near the anterior and rear corners of segments (III - V).",The paloman's genus is palomena
196,33(32),"Черевце в безколірному пунктируванні, з досить рівним зовнішнім краєм черевного обідка (I–V), знизу з белікойю чорною плямою біля задніх кутів сегментів (II–V).",Рід брахінема -- Brachynema,,"The abdomen has colorless punctuation, with a fairly even outer edge of the abdominal rim (I–V), below with a whitish black spot near the rear corners of the segments (II–V).", -- Brachynema,"The abdomen in colorless puncture, with a fairly equal outer edge of the abdominal rim (I -V), below with a white spot with a black spot near the hind angles of segments (II - V).",Genus Brachinema - Brachynema
196,34(31),"Черевце іншого кольору (I–V), а якщо зеленувате, то з малиновими смужками в місцях зчленування тергітів і без чорних плям біля задніх кутів сегментів черевного обідка (II–V) (рис. 124, 2).",,124,"The abdomen is of a different color (I–V), and if it is greenish, then with crimson stripes at the joints of the tergites and without black spots near the rear corners of the segments of the abdominal rim (II–V) (Fig. 124, 2).",,"The abdomen of a different color (I - V), and if greenish, with raspberry strips in the joints of tergits and without black spots near the hind corners of the abdominal rim (II -V) segments (Fig. 124, 2).",
196,35(36),"Черевце зверху з яскравою вигнутою червоною поперечною перев'яззю (I–IV) або вздовж верхньої поверхні грудей проходять чотири чорні або корічневі зламані смуги (IV–V). Всі темні ділянки тіла у старших стадій з сильним металевим полиском (бронзовим, синім, зеленим), а чорні точки пунктирування на черевці розміщені лише місцями.",Рід карпокорис -- Carpocoris (s. str.),,"Abdomen above with a bright curved red transverse band (I–IV) or four black or brown broken stripes along the upper surface of the thorax (IV–V). All dark areas of the body in the older stages have a strong metallic sheen (bronze, blue, green), and the black dotted points on the abdomen are placed only in clusters.", -- Carpocoris,"The abdomen with a bright curved red transverse ligation (I -IV) or along the upper surface of the chest runs four black or colic broken stripes (IV -V). All dark areas of the body in the older stages with a strong metallic polish (bronze, blue, green), and the black dots of puncture on the abdomen are placed only in places.",Genus Carpocoris - carpocoris (s. Str.)
196,36(35),"Черевце без червоної поперечної смуги (I–V), груди зверху без поздовжніх темних смуг, а якщо вони є, то не зламані і без металевого полиску (II–V); черевце досить рівномірно пунктироване (II–V).",,,"Abdomen without a red transverse stripe (I–V), thorax from above without longitudinal dark stripes, and if they are present, they are not broken and without a metallic sheen (II–V); the abdomen is rather uniformly punctuated (II–V).",,"Abdomen without a red transverse strip (I - V), breasts from above without longitudinal dark stripes, and if they are, not broken and without metal polysis (II -V); The abdomen is quite evenly punctured (II - V).",
196,37(38),"Черевце малинове (I–II) або бруднозелене з малиновими смужками між тергітами, без чорних плям біля кутів сегментів (відміна від Palomena) (II–V). Поздовжні смуги на голові і грудях широкі, чорнобурого кольору (III–V) (рис. 124, 2). Пунктирування тіла рівномірне і дрібніше, ніж у наступних видів.",Рід пієзодорус -- Piezodorus,124,"Abdomen crimson (I–II) or dirty green with crimson stripes between the tergites, without black spots near the corners of the segments (different from Palomena) (II–V). Longitudinal stripes on the head and thorax are wide, black-brown (III–V) (Fig. 124, 2). Punctuation of the body is uniform and finer than in the following species.", -- Piezodorus,"The abdomen of raspberry (I - II) or dirty with raspberry stripes between tergits, without black spots near the corners of segments (cancellation from palomena) (II - V). Longitudinal strips on the head and chest are wide, black -colored (III - V) (Figs. 124, 2). The puncture of the body is uniform and smaller than in the following species.",Genus Piezodorus - Piezodorus
196,38(37),"Черевце сіре, брудносіре (з рожевим відтинком у I–II стадії) або буре.  Поздовжніх смуг на голові і грудях немає. Пунктирування тіла дуже крупне і русте, місцямі точки зливаються в невеликі плями.",,,"Abdomen is gray, dirty gray (with a pink tinge in stages I–II) or brown. There are no longitudinal stripes on the head and thorax. The punctuation of the body is very large and thick, in some places the dots merge into small spots.",,"The abdomen is gray, dirty (with pink stretch in stage I - II) or brown. There are no longitudinal strips on the head and chest. The body punctuation is very large and rust, the points of the dots merge into small spots.",
196,39(40),"Вусики бурі або чорні з білуватими зчленуваннями, а у старших стадій ще з білуватими основами третього і четветого (часто і другого) члеників. Личинки зустрічасються з червня (відродження) до серпня (окрилення).",Рід рафігастер -- Rhaphigaster,,"Antennae are brown or black with whitish joints, and in the older stages, with whitish bases of the third and fourth (often also the second) joints. Larvae occur from June (hatching) to August (ewetting).", -- Rhaphigaster,"Storm or black tendrils with whitish joints, and in the older stages with the whitish bases of the third and four (often second) joints. The larvae are found from June (Renaissance) to August (inspiring).",Rafigaster genus - rhaphigaster
196,40(39),"Вусики бурі або чорні в усіх стадіях, у молодших — з червонуватими зчленуваннями. Личинки зустрічаються з серпня — вересня (відродження) до липня (окрилення); зимують в II–III стадіях.",Рід пентатома -- Pentatoma,,"Antennae are brown or black in all stages, with reddish joints in younger ones. Larvae occur from August to September (rebirth) to July (ewetting); hibernate in stages II–III.", -- Pentatoma,"The tendrils are brown or black in all stages, in the younger - with reddish joints. Larvae occur from August - September (Renaissance) until July (insulting); Winter in the II -III stages.",Pentatoma's genus - Pentatoma
197,41(18),"Вздовж черевця проходять ряди з округлих плямок, по одному ряду на боках верхньої і по два — на боках нижньої сторони (II–V). Черевце рожевувате або малинове, зовсім непунктіроване, знизу і по краю з довгими волосками (II–V).",Рід кодофіла -- Codophila,,"Rows of rounded spots run along the abdomen, dorsally one row on each side and ventrally two on each side (II–V). The abdomen is pinkish or crimson, completely unpunctuated, with long hairs (II–V) on the bottom and on the edge.", -- Codophila,"Along the abdomen, rows of rounded spots pass, one row on the sides of the upper and two - on the sides of the lower side (II - V). The abdomen is pink or raspberry, completely non -beunted, from the bottom and on the edge with long hairs (II - V).",Codofila - Codphila
197,42(27),"Черевце зверху з великими, розміщеними в чотири поздовжніх ряді, що йдуть вздовж внутрішніх країв черевного обідка і по обидва боки від серединної лінії тіла, округлими білуватими або жовтуватими плямами (рис. 123).",Різ незара -- Nezara,123,Abdomen from above with large rounded whitish or yellowish spots arranged in four longitudinal rows along the inner edges of the abdominal rim and on both sides of the midline of the body (Fig. 123)., -- Nezara,"The abdomen on top with large, placed in four longitudinal rows, extending along the inner edges of the abdominal rim and on both sides from the middle line of the body, rounded whitish or yellowish spots (Fig. 123).",Rice unpaid - nezara
197,43(28),На рівні проміжків між першою і другою та другою і третьою випарними площадками по боках черевця різко виділяються чорні плями (V). Тіло зелене.,Рід акростернум -- Acrosternum,,"On the sides of the abdomen, at the level of the gaps between the first and second and the second and third ESESs, black spots (V) stand out sharply. The body is green.", -- Acrosternum,"At the level of gaps between the first and second and second and third evaporation platforms on the sides of the abdomen, black spots (V) are sharply distinguished. The body is green.",Genus Acrosterum - Acrosternum
197,44(13),"Відстань між вивідними отворами на першій випарній площадці в два–три рази менша за ширину площадки (I–V) (рис. 68, 69). Темна пляма позаду третьої випарної площадки велика, різко окреслена, розміщена на VI і VII тергітах (II—V). Краї голови і грудей облямовані товстим округлим реберцем (II–V) (Eurydemini).",,68,"The distance between the ostioles on the first ESES is two to three times smaller than the width of the ESES (I–V) (Figs. 68, 69). The dark spot behind the third ESES is large, sharply defined, located on tergites VI and VII (II-V). The edges of the head and thorax are bordered by a thick rounded ridge (II–V) (Eurydemini).",,"The distance between the outlet holes on the first evaporation platform is two to three times smaller than the width of the platform (I -V) (Figs. 68, 69). The dark spot behind the third evaporation platform is large, sharply defined, placed on VI and VII tergits (II -V). The edges of the head and chest are fringed with a thick rounded rib (II - V) (Eurydemini).",
197,45(46),Відстань між отворами на всіх випарних площадках майже однакова (I–V) (рис. 69). Перша випарна площадка серповидно вигнута (II–V).,Рід евридема -- Eurydema,69,The distance between the holes on all ESESs is almost the same (I–V) (Fig. 69). The first evaporation platform is sickle-shaped (II–V).,"Cabbage bugs, caper bugs and allies -- Eurydema",The distance between the holes on all evaporation platforms is almost the same (I -V) (Fig. 69). The first evaporation platform is sicklely curved (II - V).,The Eurydema Genus Eurydema
197,46(45),"Відстань між отворами на другій і третій площадках в кілька раз менша, ніж на першій площадці (I–V) (рис. 68). Перша випарна площадка не серповидна.",Рід баграда -- Bagrada,68,The distance between the holes on the second and third ESESs is several times smaller than on the first ESES (I–V) (Fig. 68). The first ESES is not sickle-shaped., -- Bagrada,The distance between the holes in the second and third platforms is several times smaller than on the first platform (I -V) (Fig. 68). The first evaporation platform is not sickle.,Genus Bagrad - Bagrada
,,Таблиця для визначення видів роду сціокорис,,,Table for determining the species of the genus Sciocoris,,Table to identify species of the genus stiocoris,
201,1(4),Тіло з чітким чорним рисунком на білому фоні (II–IV) або принаймні з рештками його на голові і грудях (IV–V). Випарні площадки різко окреслені в усіх стадій і завжди без світлих плям біля вивідних отворів другої і третьої площадок.,,,Body with a distinct black pattern on a white background (II–IV) or at least with remnants of it on the head and thorax (IV–V). ESESs are sharply outlined in all stages and always without light spots near the ostioles of the second and ESESs.,,A body with a clear black pattern on a white background (II -IV) or at least with residues on the head and chest (IV -V). The evaporation platforms are sharply outlined in all stages and always without light spots near the outlet openings of the second and third sites.,
201,2(3),"Тіло в тонкому розкиданому пунктируванні. Темний рисунок чітко виражений у всіх стадій. Черевний обідок облямований широкою світлою смугою, що розділяє паратергітні і парастернітні плями.",С. стеблисмоокий -- S. macrocephalus,,Body with thinly scattered punctuation. The dark pattern is clearly expressed in all stages. The abdominal margin is bordered by a wide light band separating the paratergite and parasternite spots., -- Sciocoris macrocephalus,The body in thin scattered punctuation. The dark drawing is clearly expressed in all stages. The abdominal rim is fringed with a wide light strip that divides paratregit and paraster spots.,S. Stegishmook - S. macrocephalus
201,3(2),Тіло в крупному густому пунктируванні. Темний рисунок у старших стадій сильно розмитий. Черевний обідок облямований дуже вузькою світлою смужкою.,С. плоскоспинний -- S. homalonotus,,Body with large and dense punctuation. The dark pattern in older stages is strongly blurred. The abdominal margin is bordered by a very narrow light stripe., -- Sciocoris homalonotus,Body in large thick puncture. The dark drawing in the older stages is very blurred. The abdominal rim is fringed with a very narrow light strip.,C. PLACOPINE - S. HOMAONOTUS
